,date,open,high,low,close,volume,stock_name,%_change,change,year,quarter,month
1420,2024-03-29,40450,40450,39600,39950,133900,CMG,-1.24,-500.0,2024,1,3
1421,2024-04-01,39950,40200,39500,40200,335100,CMG,0.63,250.0,2024,2,4
1422,2024-04-02,40200,40250,39800,40150,215900,CMG,-0.12,-50.0,2024,2,4
1423,2024-04-03,40100,42950,40000,42950,987200,CMG,6.97,2800.0,2024,2,4
1424,2024-04-04,45000,45950,44850,45950,1958400,CMG,6.98,3000.0,2024,2,4
1425,2024-04-05,45500,49000,45500,47300,851900,CMG,2.94,1350.0,2024,2,4
1426,2024-04-08,46500,49500,44000,45050,1096400,CMG,-4.76,-2250.0,2024,2,4
1427,2024-04-09,45050,48200,45050,48000,580800,CMG,6.55,2950.0,2024,2,4
1428,2024-04-10,48500,49000,47400,48900,720400,CMG,1.88,900.0,2024,2,4
1429,2024-04-11,48500,48500,47550,48100,334100,CMG,-1.64,-800.0,2024,2,4
1430,2024-04-12,48500,49300,47200,49300,600100,CMG,2.49,1200.0,2024,2,4
1431,2024-04-15,49500,49500,45850,45850,1204600,CMG,-7.0,-3450.0,2024,2,4
1432,2024-04-16,45500,45850,42800,45850,865400,CMG,0.0,0.0,2024,2,4
1433,2024-04-17,45800,46300,43900,44150,683500,CMG,-3.71,-1700.0,2024,2,4
1434,2024-04-19,43250,43300,41100,41550,1720600,CMG,-5.89,-2600.0,2024,2,4
1435,2024-04-22,42400,42750,41750,42350,262500,CMG,1.93,800.0,2024,2,4
1436,2024-04-23,42400,45000,39400,42800,2046300,CMG,1.06,450.0,2024,2,4
1437,2024-04-24,43600,45300,43600,45300,743900,CMG,5.84,2500.0,2024,2,4
1438,2024-04-25,45300,47000,44600,44600,1275900,CMG,-1.55,-700.0,2024,2,4
1439,2024-04-26,44300,45100,43950,44650,502900,CMG,0.11,50.0,2024,2,4
1440,2024-05-02,45400,46600,44400,46150,1139600,CMG,3.36,1500.0,2024,2,5
1441,2024-05-03,46200,46600,45100,45100,954300,CMG,-2.28,-1050.0,2024,2,5
1442,2024-05-06,45400,47000,44500,46850,1300400,CMG,3.88,1750.0,2024,2,5
1443,2024-05-07,47500,49450,47000,48450,951000,CMG,3.42,1600.0,2024,2,5
1444,2024-05-08,48450,51800,47550,51800,1000000,CMG,6.91,3350.0,2024,2,5
1445,2024-05-09,55400,55400,54200,55400,1353800,CMG,6.95,3600.0,2024,2,5
1446,2024-05-10,59000,59200,57100,58900,3000800,CMG,6.32,3500.0,2024,2,5
1447,2024-05-13,60000,60000,56800,58400,1459100,CMG,-0.85,-500.0,2024,2,5
1448,2024-05-14,58400,62400,58400,62400,1472300,CMG,6.85,4000.0,2024,2,5
1449,2024-05-15,64900,65900,63000,63000,1956900,CMG,0.96,600.0,2024,2,5
1450,2024-05-16,63400,63700,60400,60600,3482500,CMG,-3.81,-2400.0,2024,2,5
1451,2024-05-17,61000,62000,60400,61300,2849800,CMG,1.16,700.0,2024,2,5
1452,2024-05-20,62000,62000,58600,59000,3963300,CMG,-3.75,-2300.0,2024,2,5
